Date,Medio,Program,Schedule,Original Title,Duration,Ordered Qty,Insertion,Confidence,Status
2025-12-15,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-15,TVN,Noticiero Estelar,6:00pm-08:00pm,TVN NOTICIAS,35,1,1,100,matched
2025-12-15,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-15,TVN,Noticiero Matutino,6:00am-08:00am,LA NOVIA DE ESTAMBUL,10,1,1,100,matched
2025-12-15,TVN,Rot. Vespertina,1:00pm-05:00pm,TU VIDA ES MI VIDA,10,1,1,100,matched
2025-12-16,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,10,1,1,100,matched
2025-12-16,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-16,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-16,MEDCOM,Tu Mañana,8:00am-11:30am,TU MANANA,10,1,1,100,matched
2025-12-16,TVN,Fam. de la Tarde,1:00pm-05:00pm,CONTIGO SI POR SIEMPRE,35,1,1,100,matched
2025-12-16,TVN,Jelou,8:00am-11:30am,JELOU,10,1,1,100,matched
2025-12-16,TVN,Novela Estelar,8:00pm-11:00pm,TVN NOTICIAS,35,1,1,100,matched
2025-12-17,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-17,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,10,1,1,100,matched
2025-12-17,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,10,1,1,100,matched
2025-12-17,TVN,Jelou,8:00am-11:30am,JELOU,10,1,1,100,matched
2025-12-17,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-17,TVN,Noticiero Matutino,6:00am-08:00am,NUEVO RICO NUEVO POBRE,10,1,1,100,matched
2025-12-17,TVN,Novela Estelar,8:00pm-11:00pm,TVN NOTICIAS,35,1,1,100,matched
2025-12-18,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-18,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,10,1,1,100,matched
2025-12-18,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,35,1,1,100,matched
2025-12-18,TVN,Fam. de la Tarde,1:00pm-05:00pm,CONTIGO SI POR SIEMPRE,35,1,1,100,matched
2025-12-18,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,35,1,1,100,matched
2025-12-18,TVN,Noticiero Estelar,6:00pm-08:00pm,TVN NOTICIAS,35,1,1,100,matched
2025-12-18,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-18,TVN,Noticiero Matutino,6:00am-08:00am,JELOU,10,1,1,100,matched
2025-12-19,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-19,MEDCOM,Noticiero Matutino,6:00am-08:00am,PARRANDA NAVIDAD A LO PANAMENO,10,1,1,100,matched
2025-12-19,TVN,Fam. de la Tarde,1:00pm-05:00pm,GORDITO DEL ZODIACO,35,1,1,100,matched
